case_id,case_type
316,單純原被告各一
317,單純原被告各一
318,單純原被告各一
319,單純原被告各一
320,單純原被告各一
321,單純原被告各一
322,單純原被告各一
323,數名原告
324,單純原被告各一
325,單純原被告各一
326,單純原被告各一
327,數名原告
328,單純原被告各一
329,單純原被告各一
330,單純原被告各一
331,數名原告
332,單純原被告各一
333,單純原被告各一
334,單純原被告各一
335,單純原被告各一
336,單純原被告各一
337,單純原被告各一
338,單純原被告各一
339,單純原被告各一
340,單純原被告各一
341,單純原被告各一
342,單純原被告各一
343,單純原被告各一
344,單純原被告各一
345,單純原被告各一
346,單純原被告各一
347,單純原被告各一
348,數名被告
349,原被告皆數名
350,單純原被告各一
351,單純原被告各一
352,單純原被告各一
353,數名被告+§188僱用人案型
354,數名原告
355,單純原被告各一
356,單純原被告各一
357,單純原被告各一
358,單純原被告各一
359,單純原被告各一
360,單純原被告各一
361,數名被告+§188僱用人案型
362,單純原被告各一
363,單純原被告各一
364,單純原被告各一
365,單純原被告各一
366,單純原被告各一
367,單純原被告各一
368,單純原被告各一
369,數名被告
370,單純原被告各一
371,單純原被告各一
372,單純原被告各一
373,單純原被告各一
374,單純原被告各一
375,單純原被告各一
376,單純原被告各一
377,單純原被告各一
378,單純原被告各一
379,單純原被告各一+§190動物案型
380,單純原被告各一
381,單純原被告各一
382,單純原被告各一+§188僱用人案型
383,單純原被告各一
384,數名原告
385,單純原被告各一
386,單純原被告各一
387,單純原被告各一
388,單純原被告各一
389,單純原被告各一
390,單純原被告各一
391,單純原被告各一
392,單純原被告各一
393,單純原被告各一
394,單純原被告各一
395,單純原被告各一
396,單純原被告各一
397,數名原告
398,單純原被告各一
399,單純原被告各一
400,單純原被告各一
401,單純原被告各一
402,單純原被告各一
403,單純原被告各一
404,單純原被告各一
405,數名原告
406,單純原被告各一
407,單純原被告各一
408,單純原被告各一
409,單純原被告各一
410,單純原被告各一
411,單純原被告各一
412,單純原被告各一
413,單純原被告各一
414,單純原被告各一
415,單純原被告各一
416,單純原被告各一
417,單純原被告各一
418,單純原被告各一
419,單純原被告各一
420,單純原被告各一
421,單純原被告各一
422,單純原被告各一
423,單純原被告各一
424,單純原被告各一
425,單純原被告各一
426,數名被告
427,單純原被告各一
428,單純原被告各一
429,數名原告
430,單純原被告各一
431,單純原被告各一
432,單純原被告各一+§188僱用人案型
433,單純原被告各一
434,單純原被告各一
435,單純原被告各一
436,單純原被告各一
437,單純原被告各一
438,單純原被告各一
439,單純原被告各一
440,數名原告
441,單純原被告各一
442,單純原被告各一
443,單純原被告各一
444,單純原被告各一
445,單純原被告各一
446,單純原被告各一
447,單純原被告各一
448,單純原被告各一
449,單純原被告各一
450,單純原被告各一+§188僱用人案型
451,單純原被告各一
452,單純原被告各一
453,數名被告
454,單純原被告各一
455,單純原被告各一
456,單純原被告各一
457,單純原被告各一
458,單純原被告各一
459,單純原被告各一
460,單純原被告各一
461,數名原告
462,單純原被告各一
463,單純原被告各一
464,單純原被告各一
465,單純原被告各一
466,單純原被告各一
467,單純原被告各一
468,單純原被告各一
469,單純原被告各一
470,單純原被告各一
471,單純原被告各一
472,單純原被告各一
473,單純原被告各一
474,單純原被告各一
475,單純原被告各一
476,單純原被告各一
477,單純原被告各一
478,單純原被告各一
479,單純原被告各一
480,單純原被告各一
481,單純原被告各一
482,數名原告
483,數名原告
484,單純原被告各一
485,單純原被告各一
486,單純原被告各一
487,單純原被告各一
488,單純原被告各一
489,單純原被告各一
490,單純原被告各一
491,單純原被告各一
492,單純原被告各一
493,單純原被告各一
494,單純原被告各一
495,單純原被告各一
496,單純原被告各一
497,單純原被告各一
498,單純原被告各一
499,單純原被告各一
500,單純原被告各一
501,單純原被告各一
502,單純原被告各一
503,數名原告
504,單純原被告各一
505,單純原被告各一+§188僱用人案型
506,單純原被告各一
507,單純原被告各一
508,單純原被告各一
509,單純原被告各一
510,單純原被告各一
511,單純原被告各一
512,單純原被告各一
513,單純原被告各一
514,數名原告
515,數名被告
516,單純原被告各一
517,數名被告
518,單純原被告各一
519,單純原被告各一
520,單純原被告各一
521,數名被告
522,單純原被告各一
523,單純原被告各一
524,單純原被告各一
525,單純原被告各一
526,單純原被告各一
527,單純原被告各一
528,單純原被告各一
529,單純原被告各一
530,單純原被告各一
531,單純原被告各一
532,單純原被告各一
533,單純原被告各一
534,單純原被告各一
535,單純原被告各一
536,單純原被告各一
537,單純原被告各一
538,單純原被告各一
539,單純原被告各一
540,單純原被告各一
541,數名原告
542,單純原被告各一
543,單純原被告各一
544,單純原被告各一
545,單純原被告各一
546,單純原被告各一
547,單純原被告各一
548,單純原被告各一+§188僱用人案型
549,單純原被告各一
550,單純原被告各一
551,單純原被告各一+§188僱用人案型
552,單純原被告各一
553,單純原被告各一
554,單純原被告各一
555,單純原被告各一
556,單純原被告各一
557,單純原被告各一
558,單純原被告各一
559,單純原被告各一
560,單純原被告各一
561,單純原被告各一
562,單純原被告各一
563,單純原被告各一
564,單純原被告各一
565,單純原被告各一
566,單純原被告各一
567,單純原被告各一
568,單純原被告各一
569,數名被告+§188僱用人案型
570,單純原被告各一
571,單純原被告各一
572,單純原被告各一+§188僱用人案型
573,數名被告
574,單純原被告各一
575,單純原被告各一
576,單純原被告各一
577,單純原被告各一
578,單純原被告各一
579,單純原被告各一
580,單純原被告各一
581,單純原被告各一
582,單純原被告各一
583,單純原被告各一
584,單純原被告各一
585,數名原告
586,數名原告
587,單純原被告各一
588,單純原被告各一
589,單純原被告各一
590,單純原被告各一
591,單純原被告各一
592,數名原告
593,數名原告
594,單純原被告各一
595,單純原被告各一
596,單純原被告各一
597,單純原被告各一
598,數名原告
599,單純原被告各一+§188僱用人案型
600,單純原被告各一
601,單純原被告各一
602,單純原被告各一
603,單純原被告各一
604,單純原被告各一
605,單純原被告各一
606,單純原被告各一
607,單純原被告各一
608,單純原被告各一
609,單純原被告各一
610,數名原告
611,單純原被告各一
612,單純原被告各一
613,單純原被告各一
614,單純原被告各一
615,單純原被告各一
616,單純原被告各一
617,單純原被告各一
618,單純原被告各一+§188僱用人案型
619,單純原被告各一+§188僱用人案型
620,單純原被告各一+§188僱用人案型
621,單純原被告各一
622,數名原告
623,單純原被告各一
624,單純原被告各一
625,單純原被告各一
626,單純原被告各一
627,數名原告+§188僱用人案型
628,單純原被告各一
629,數名被告
630,單純原被告各一
631,單純原被告各一
632,單純原被告各一
633,數名原告
634,單純原被告各一
635,單純原被告各一
636,單純原被告各一
637,單純原被告各一
638,單純原被告各一
639,單純原被告各一
640,數名被告+§188僱用人案型
641,單純原被告各一+§188僱用人案型
642,數名原告
643,數名原告+§188僱用人案型
644,數名被告
645,單純原被告各一+§188僱用人案型
646,單純原被告各一
647,單純原被告各一
648,單純原被告各一
649,單純原被告各一
650,單純原被告各一
651,單純原被告各一
652,單純原被告各一
653,單純原被告各一
654,單純原被告各一
655,單純原被告各一
656,單純原被告各一
657,單純原被告各一
658,單純原被告各一
659,單純原被告各一
660,單純原被告各一
661,單純原被告各一
662,單純原被告各一
663,單純原被告各一
664,單純原被告各一
665,單純原被告各一+§188僱用人案型
666,單純原被告各一
667,數名原告
668,單純原被告各一
669,單純原被告各一
670,單純原被告各一
671,單純原被告各一
672,單純原被告各一
673,單純原被告各一
674,單純原被告各一
675,單純原被告各一
676,單純原被告各一
677,單純原被告各一
678,單純原被告各一
679,單純原被告各一
680,單純原被告各一
681,單純原被告各一
682,單純原被告各一
683,單純原被告各一
684,單純原被告各一
685,單純原被告各一
686,單純原被告各一
687,單純原被告各一
688,數名原告
689,單純原被告各一
690,單純原被告各一
691,單純原被告各一
692,單純原被告各一
693,單純原被告各一
694,單純原被告各一
695,單純原被告各一
696,單純原被告各一
697,單純原被告各一
698,單純原被告各一
699,單純原被告各一
700,單純原被告各一
701,單純原被告各一+§188僱用人案型
702,單純原被告各一
703,單純原被告各一
704,單純原被告各一
705,單純原被告各一
706,單純原被告各一
707,單純原被告各一
708,單純原被告各一
709,數名原告
710,單純原被告各一
711,單純原被告各一
712,數名原告
713,單純原被告各一
714,單純原被告各一
715,單純原被告各一
716,單純原被告各一
717,單純原被告各一
718,單純原被告各一
719,單純原被告各一
720,單純原被告各一
721,單純原被告各一
722,單純原被告各一
723,數名被告+§188僱用人案型
724,單純原被告各一
725,單純原被告各一
726,單純原被告各一
727,原被告皆數名
728,單純原被告各一
729,單純原被告各一+§188僱用人案型
730,單純原被告各一+§188僱用人案型
731,單純原被告各一
732,單純原被告各一
733,單純原被告各一
734,單純原被告各一
735,單純原被告各一
736,單純原被告各一
737,數名原告
738,單純原被告各一
739,單純原被告各一
740,單純原被告各一
741,原被告皆數名
742,單純原被告各一+§188僱用人案型
743,單純原被告各一
744,單純原被告各一
745,單純原被告各一
746,單純原被告各一
747,單純原被告各一
748,單純原被告各一
749,數名原告
750,單純原被告各一
751,單純原被告各一
752,單純原被告各一
753,單純原被告各一
754,單純原被告各一
755,單純原被告各一
756,數名被告+§190動物案型
757,單純原被告各一
758,單純原被告各一
759,數名原告
760,單純原被告各一
761,單純原被告各一
762,單純原被告各一
763,單純原被告各一
764,單純原被告各一
765,單純原被告各一
766,單純原被告各一
767,單純原被告各一
768,單純原被告各一
769,數名原告
770,單純原被告各一
771,數名被告+§187未成年案型
772,單純原被告各一
773,單純原被告各一
774,單純原被告各一
775,單純原被告各一
776,單純原被告各一
777,單純原被告各一
778,單純原被告各一
779,單純原被告各一
780,單純原被告各一
781,單純原被告各一
782,單純原被告各一
783,單純原被告各一
784,單純原被告各一
785,單純原被告各一
786,單純原被告各一
787,單純原被告各一+§188僱用人案型
788,單純原被告各一
789,單純原被告各一
790,單純原被告各一
791,單純原被告各一
792,單純原被告各一
793,單純原被告各一
794,單純原被告各一
795,單純原被告各一
796,單純原被告各一
797,單純原被告各一
798,單純原被告各一
799,單純原被告各一
800,單純原被告各一+§188僱用人案型
801,單純原被告各一
802,單純原被告各一
803,數名原告
804,單純原被告各一
805,單純原被告各一
806,數名原告
807,單純原被告各一
808,單純原被告各一
809,單純原被告各一
810,數名被告
811,數名被告
812,單純原被告各一
813,單純原被告各一
814,數名被告
815,單純原被告各一
816,數名原告
817,單純原被告各一
818,單純原被告各一
819,單純原被告各一
820,單純原被告各一+§188僱用人案型
821,單純原被告各一+§188僱用人案型
822,單純原被告各一
823,數名原告
824,單純原被告各一
825,單純原被告各一
826,單純原被告各一
827,單純原被告各一
828,單純原被告各一
829,單純原被告各一+§188僱用人案型
830,單純原被告各一
831,單純原被告各一
832,單純原被告各一+§188僱用人案型
833,單純原被告各一
834,單純原被告各一
835,單純原被告各一
836,單純原被告各一
837,單純原被告各一
838,單純原被告各一
839,數名原告
840,單純原被告各一
841,數名原告+§188僱用人案型
842,數名原告
843,數名被告+§188僱用人案型
844,單純原被告各一+§188僱用人案型
845,單純原被告各一
846,數名原告
847,數名被告
848,單純原被告各一
849,單純原被告各一
850,單純原被告各一
851,數名原告+§188僱用人案型
852,單純原被告各一
853,單純原被告各一
854,單純原被告各一+§188僱用人案型
855,數名原告+§188僱用人案型
856,單純原被告各一+§188僱用人案型
857,單純原被告各一
858,單純原被告各一
859,單純原被告各一+§188僱用人案型
860,單純原被告各一
861,單純原被告各一+§188僱用人案型
862,單純原被告各一
863,單純原被告各一
864,單純原被告各一
865,單純原被告各一
866,數名被告+§188僱用人案型
867,單純原被告各一
868,單純原被告各一
869,單純原被告各一+§188僱用人案型
870,單純原被告各一+§188僱用人案型
871,單純原被告各一
