weight_setting,tau_0.075,tau_0.100,tau_0.125,metric
"α=0.5, β=0.3, 1-α-β=0.2",0.000000,0.000000,0.000000,avg_hop2_per_case
"α=0.5, β=0.2, 1-α-β=0.3",0.000000,0.000000,0.000000,avg_hop2_per_case
"α=0.3, β=0.5, 1-α-β=0.2",0.000000,0.000000,0.000000,avg_hop2_per_case
"α=0.3, β=0.2, 1-α-β=0.5",0.000000,0.000000,0.000000,avg_hop2_per_case
"α=0.2, β=0.5, 1-α-β=0.3",0.000000,0.000000,0.000000,avg_hop2_per_case
"α=0.2, β=0.3, 1-α-β=0.5",0.000000,0.000000,0.000000,avg_hop2_per_case
