weight_setting,tau_0.075,tau_0.100,tau_0.125,metric
"α=0.5, β=0.3, 1-α-β=0.2",2.813769,2.864454,2.873205,avg_hop1_per_case
"α=0.5, β=0.2, 1-α-β=0.3",2.834406,2.869572,2.893016,avg_hop1_per_case
"α=0.3, β=0.5, 1-α-β=0.2",2.782401,2.845468,2.874195,avg_hop1_per_case
"α=0.3, β=0.2, 1-α-β=0.5",2.661714,2.873370,2.890375,avg_hop1_per_case
"α=0.2, β=0.5, 1-α-β=0.3",2.803863,2.870728,2.897969,avg_hop1_per_case
"α=0.2, β=0.3, 1-α-β=0.5",2.664190,2.884927,2.893842,avg_hop1_per_case
